Date,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
1998-03-31,-4.301350940845115e-05,-0.3047505405265719,-4.276084053833622e-05,-4.26157191052893e-05,-4.297168972224719e-05,-4.263672174595423e-05
1998-05-19,-2.14147243560602e-05,-0.1903697530847431,-2.1213794233688862e-05,-2.1198713183551104e-05,-2.1401096783689546e-05,-2.120906289037482e-05
1998-06-30,-3.0157721446901954e-05,-0.21585018708498685,-2.985805032200209e-05,-2.9834436131769997e-05,-3.0113288179873368e-05,-2.9849418932644958e-05
1998-08-18,-2.722024831926718e-05,-0.22685848482405396,-2.7000072577645376e-05,-2.6972583274377645e-05,-2.7202143542162092e-05,-2.6985158907400767e-05
1998-09-29,-2.6058240833777105e-05,-0.2361871104016036,-2.5806657101645828e-05,-2.5769525474392437e-05,-0.00467332792845299,-2.5782668220340607e-05
1998-11-17,-0.01552465443171142,-0.16862448156688334,-1.531779593231822e-05,-1.5303537150600403e-05,-1.5458557061260872e-05,-1.531042705056996e-05
1998-12-22,-2.9771164772981812e-05,-0.2347513111711752,-2.9515165364529285e-05,-2.9488303841221798e-05,-2.9742740615495348e-05,-2.9500313291016148e-05
1999-02-02,-3.689474309461453e-05,-0.2905967159502451,-3.657465246912954e-05,-3.653140365113105e-05,-3.687701104279072e-05,-3.6548083468861695e-05
1999-03-30,-5.2216244862639716e-05,-0.33044917721515993,-5.1720637650796795e-05,-5.167253454493658e-05,-5.217748353950277e-05,-5.16973015651128e-05
1999-05-18,-6.387545443938748e-05,-0.40304374753698596,-6.331803720942561e-05,-6.326107200226864e-05,-6.385079246208421e-05,-6.329164471610018e-05
1999-06-29,-6.663805024042232e-05,-0.4393237596571666,-6.608357137196923e-05,-6.603145140016107e-05,-6.659671949830174e-05,-6.606296411577144e-05
1999-08-24,-6.206091310375362e-05,-0.4099478266062131,-6.150654852774692e-05,-6.145122068634805e-05,-6.208172809880423e-05,-6.148323978053354e-05
1999-10-05,-6.396438513886786e-05,-0.41493606797003274,-6.34838376344264e-05,-6.339703553591692e-05,-6.39019014999852e-05,-6.342215829337532e-05
